ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
0,43179650,30.893734,-91.240265,60,20.7,30.9,38.3,31.9,8.1,17.1,25.7,18.4,14.4,24,32,25.1,468,328,293,304,15.1,22.2,21.1,17.2,4,0,0,0,854,1734,2478,1823,373,44,0,38,65,582,1282,673,86,92,92,91,0,0,0,0,207,481,601,364,0,175,308,81,61,61,66,62
1,43179651,30.893254,-91.230873,61,20.7,30.9,38.3,31.9,8.1,17.1,25.7,18.4,14.4,24,32,25.1,468,329,293,304,15,22.2,21.1,17.2,4,0,0,0,853,1734,2478,1823,374,44,0,38,65,582,1282,672,86,92,92,91,0,0,0,0,207,481,601,364,0,175,308,80,61,61,66,62
2,43179652,30.892773,-91.221481,55,20.7,30.9,38.3,31.9,8,17.1,25.7,18.3,14.4,24,32,25.1,468,329,294,304,14.8,22.2,21.1,17.1,4,0,0,0,853,1733,2477,1822,374,44,0,38,65,581,1281,672,86,92,92,91,0,0,0,0,207,482,601,364,0,175,308,80,61,61,66,62
3,43179653,30.892291,-91.212097,46,20.8,30.9,38.3,31.9,8.1,17.1,25.7,18.4,14.4,24,32,25.2,469,329,294,304,14.7,22.1,21.1,17,4,0,0,0,857,1736,2479,1826,371,44,0,38,66,583,1283,674,86,92,92,91,0,0,0,0,207,482,601,365,0,174,307,80,61,61,66,62
4,43172364,30.903739,-91.277267,45,20.7,30.9,38.3,31.9,8,17.1,25.7,18.3,14.4,24,32,25.1,468,328,290,304,15,22.3,21.2,17.2,4,0,0,0,853,1733,2476,1822,374,44,0,38,65,581,1280,671,86,92,92,91,0,0,0,0,207,482,601,365,0,176,312,81,61,61,66,62
5,43172365,30.903264,-91.267883,45,20.7,30.9,38.3,31.9,8,17.1,25.7,18.3,14.4,24,32,25.1,468,329,291,304,14.8,22.2,21.1,17.1,4,0,0,0,852,1733,2477,1822,374,44,0,38,65,581,1281,672,86,92,92,91,0,0,0,0,207,482,601,365,0,176,311,81,61,61,66,62
6,43172366,30.902787,-91.258492,45,20.7,30.9,38.3,31.9,8.1,17.1,25.7,18.3,14.4,24,32,25.1,468,329,291,304,14.8,22.2,21.1,17.1,4,0,0,0,854,1734,2478,1823,374,44,0,38,65,582,1282,673,86,92,92,91,0,0,0,0,207,482,601,365,0,176,310,81,61,61,66,62
7,43172367,30.90231,-91.2491,58,20.7,30.9,38.3,31.9,8.1,17.1,25.7,18.3,14.4,24,32,25.1,468,329,292,303,15.1,22.2,21.1,17.2,4,0,0,0,853,1734,2478,1823,374,44,0,38,65,582,1282,673,86,92,92,91,0,0,0,0,207,481,601,365,0,175,310,81,61,61,66,62
8,43172368,30.901831,-91.239708,63,20.7,30.9,38.3,31.9,8,17.1,25.7,18.3,14.4,24,32,25.1,468,329,292,304,15.1,22.2,21.1,17.2,4,0,0,0,852,1733,2478,1823,375,44,0,38,65,581,1282,672,86,92,92,91,0,0,0,0,207,481,601,364,0,174,308,81,61,61,66,62
9,43172369,30.901351,-91.230316,60,20.7,30.9,38.3,31.9,8,17.1,25.7,18.3,14.4,24,32,25.1,469,330,293,304,15,22.2,21.1,17.2,4,0,0,0,853,1733,2478,1823,374,44,0,38,65,581,1282,672,86,92,92,91,0,0,0,0,207,481,601,364,0,174,308,81,61,61,66,62
